almaty;;;;
amsterdam;2025-03-30;2025-10-26;2026-03-29;2026-10-25
ankara;;;;
bad_hersfeld;2025-03-30;2025-10-26;2026-03-29;2026-10-25
barcelona;2025-03-30;2025-10-26;2026-03-29;2026-10-25
barnaul;;;;
bogota;;;;
budapest;2025-03-30;2025-10-26;2026-03-29;2026-10-25
buffalo;2025-03-09;2025-11-02;2026-03-08;2026-11-01
byronbay;2024-10-06;2025-04-06;2025-10-05;2026-04-05
caracas;;;;
chelyabinsk;;;;
chiangmai;;;;
chisinau;2025-03-30;2025-10-26;2026-03-29;2026-10-25
delhi;;;;
derbent;;;;
dnepropetrovsk;2025-03-30;2025-10-26;2026-03-29;2026-10-25
donetsk;;;;
dublin;2025-03-30;2025-10-26;2026-03-29;2026-10-25
guadalajara;;;;
haifa;2025-03-28;2025-10-26;2026-03-27;2026-10-25
heilbronn;2025-03-30;2025-10-26;2026-03-29;2026-10-25
helsinki;2025-03-30;2025-10-26;2026-03-29;2026-10-25
herson;2025-03-30;2025-10-26;2026-03-29;2026-10-25
honolulu;;;;
istanbul;;;;
izhevsk;;;;
johannesburg;;;;
kazan;;;;
kaluga;;;;
khabarovsk;;;;
khanty-mansiysk;;;;
kharkiv;2025-03-30;2025-10-26;2026-03-29;2026-10-25
kostroma;;;;
krasnodar;;;;
krasnoyarsk;;;;
kuala_lumpur;;;;
kyiv;2025-03-30;2025-10-26;2026-03-29;2026-10-25
lima;;;;
linkoeping;2025-03-30;2025-10-26;2026-03-29;2026-10-25
lisbon;2025-03-30;2025-10-26;2026-03-29;2026-10-25
london;2025-03-30;2025-10-26;2026-03-29;2026-10-25
luhansk;;;;
luxembourg;2025-03-30;2025-10-26;2026-03-29;2026-10-25
lviv;2025-03-30;2025-10-26;2026-03-29;2026-10-25
maalot_tarshiha;2025-03-28;2025-10-26;2026-03-27;2026-10-25
manila;;;;
merida;;;;
mexico_city;2025-03-09;2025-11-02;2026-03-08;2026-11-01
miami;2025-03-09;2025-11-02;2026-03-08;2026-11-01
milan;2025-03-30;2025-10-26;2026-03-29;2026-10-25
minsk;;;;
morelia;;;;
moscow;;;;
nabadwip;;;;
new_york;2025-03-09;2025-11-02;2026-03-08;2026-11-01
nizhny_novgorod;;;;
novgorod_the_great;;;;
novosibirsk;;;;
odessa;2025-03-30;2025-10-26;2026-03-29;2026-10-25
omsk;;;;
orenburg;;;;
orsk;;;;
oslo;2025-03-30;2025-10-26;2026-03-29;2026-10-25
paernu;2025-03-30;2025-10-26;2026-03-29;2026-10-25
perm;;;;
petropavl;;;;
petropavlovsk_kamchatsky;;;;
petrozavodsk;;;;
port_luis;;;;
prague;2025-03-30;2025-10-26;2026-03-29;2026-10-25
quito;;;;
riga;2025-03-30;2025-10-26;2026-03-29;2026-10-25
rome;2025-03-30;2025-10-26;2026-03-29;2026-10-25
rostov_on_don;;;;
saint_petersburg;;;;
salt_lake_city;2025-03-09;2025-11-02;2026-03-08;2026-11-01
samara;;;;
saratov;;;;
san_luis_potosi;;;;
san_francisco;2025-03-09;2025-11-02;2026-03-08;2026-11-01
san_paulo;;;;
shenzhen;;;;
simferopol;;;;
singapore;;;;
smolensk;;;;
sochi;;;;
soquel;2025-03-09;2025-11-02;2026-03-08;2026-11-01
stavropol;;;;
sukhum;;;;
surgut;;;;
sydney;2024-10-06;2025-04-06;2025-10-05;2026-04-05
tambov;;;;
tampere;2025-03-30;2025-10-26;2026-03-29;2026-10-25
tijuana;2025-03-09;2025-11-02;2026-03-08;2026-11-01
timmins;2025-03-09;2025-11-02;2026-03-08;2026-11-01
tolyatti;;;;
tuapse;;;;
tomsk;;;;
ufa;;;;
vancouver;2025-03-09;2025-11-02;2026-03-08;2026-11-01
veracruz;;;;
vinnitsa;2025-03-30;2025-10-26;2026-03-29;2026-10-25
vladivostok;;;;
volgograd;;;;
voronezh;;;;
vrindavan;;;;
wroclaw;2025-03-30;2025-10-26;2026-03-29;2026-10-25
yaroslavl;;;;
yekaterinburg;;;;
yoshkar_ola;;;;
yuzhno_sakhalinsk;;;;
zaporizhia;2025-03-30;2025-10-26;2026-03-29;2026-10-25
