pratipad;K;Pratipad;Пратипад
dvitiya;K;Dvitiya;Двития
tritiya;K;Tritiya;Трития
chaturti;K;Chaturthi;Чатурти
panchami;K;Panchami;Панчами
shashthi;K;Shashthi;Шаштхи
saptami;K;Saptami;Саптами
ashtami;K;Ashtami;Аштами
navami;K;Navami;Навами
dashami;K;Dashami;Дашами
ekadashi;K;Ekadashi;Экадаши
dvadashi;K;Dvadashi;Двадаши
trayodashi;K;Trayodashi;Трайодаши
chaturdashi;K;Chaturdashi;Чатурдаши
amavasya;K;Amavasya;Амавасья
pratipad;G;Pratipad;Пратипад
dvitiya;G;Dvitiya;Двития
tritiya;G;Tritiya;Трития
chaturti;G;Chaturthi;Чатурти
panchami;G;Panchami;Панчами
shashthi;G;Shashthi;Шаштхи
saptami;G;Saptami;Саптами
ashtami;G;Ashtami;Аштами
navami;G;Navami;Навами
dashami;G;Dashami;Дашами
ekadashi;G;Ekadashi;Экадаши
dvadashi;G;Dvadashi;Двадаши
trayodashi;G;Trayodashi;Трайодаши
chaturdashi;G;Chaturdashi;Чатурдаши
purnima;G;Purnima;Пурнима
